"";"x"
"228";"@kyriarhos @LavrentisBeria4 Υπάρχει λόγος που φωνάζουμε να τηρηθεί το διεθνές Δίκαιο. Η συνθήκη της Γενεύης προβλέπει συντεταγμένη είσοδο και καταγραφή όλων, ακριβώς για αυτο΄ςυ τους λόγους. Όταν κλείνεις εντελώς τα σύνορα, θα περάσει στα κρυφά χωρίς να καταγραφεί πουθενά."
"229";"Τυχαία λίγες ημέρες μετά τη συνάντηση Ερντογάν-Μπορίσοφ."
"230";"@CZachariadis Ανθρωπιά = Χρήματα. Καταλάβετε ανθρωπιστές;"
"231";"@Stelitsa17 @Annampella2 @athaneziak Τη κυρία Νίκη θέλεις; Αχαχαχα θα τρελαθείς στάνταρ η θα κάνεις μπλοκ αργά ή γρήγορα"
"232";"@Stelitsa17 @Annampella2 @athaneziak Ναι να τη κάνουμε μενσιο να μας ανάψει τα λαμπάκια. ΜΕ ΤΊΠΟΤΑ <U+0001F602><U+0001F602>"
"233";"Εάν αποφάσιζα να κόψω τις μαλακίες μου αυτό θα σήμαινε ότι τώρα δεν μπορώ να φάω σαν βόδι."
"234";"Επίσης Πολλά φιλια Καλό βράδυ"
"235";"@Penelop27792736 Ευχαριστώ πολύ Πηνελόπη υγεία Επίσης ευχομαι"
"236";"Θα το πω γιατί θα σκάσω:Έχω δει ποστ γιατρών να χαϊδεύουν αυτιά πιστών αυτές τις κρίσιμες μέρες να το παίζουν και επιστήμονες κ χριστιανοί προκειμένου να μην δυσαρεστήσουν κόσμο κ να γίνονται κατ' αυτόν τον τρόπο επικίνδυνοι.Όσους ξέρω,είναι όλοι επίορκοι όσον αφορά στο φακελάκι"
"237";"Τι στον μπούτσο,όλοι οι γιατροί του νος. Πύργου είχαν συγγενή που πήγε αγίους τόπους;Μήπως απαιτείται στην αίτηση πρόσληψης να έχεις συγγενή χριστιανοταλιμπάν;Τώρα που το σκέφτομαι ποτέ δεν έβλαψαν σε έναν διορισμό οι καλές σχέσεις με την εκκλησία."
"238";"@defdrl Πρώτο θέμα πόσες γκομενες είχε ο Ιταλός πρόεδρος <U+0001F600><U+0001F600>"
"239";"Όλες οι θέσεις εργασίας στην εταιρία DATA MEDIA #skywalkergr #aggeliesergasias #ergasia "
"240";"Παρακολούθησα την ερώτηση του @pskourl στον @AdonisGeorgiadi για το Ναυάγιο της Ζακύνθου. Είναι προφανές ότι αγνοείται το γεγονός ότι η ΕΥΠ τσίμπησε συνομιλίες που αποκαλύπτουν την απάτη και το ρόλο δυο στελεχών του @syriza_gr Τα υπόλοιπα στην τηλεόραση "
"241";" "
"242";" "
"243";"Κορονοϊός: Οι χώρες των G20 θα λάβουν ""κατάλληλα"" δημοσιονομικά και νομισματικά μέτρα  "
"244";"Στις Βρυξέλλες ο Ερντογάν τη Δευτέρα  "
"245";"Έβρος: Νέα επεισόδια - Φωτιές και δακρυγόνα από τους Τούρκους  "
"246";"Κορονοϊός: Οργανώνονται στις ΗΠΑ - Αποστολή 2,1 εκατ. τεστ σε εργαστήρια  "
"247";"Γιάννης και Θανάσης Αντετοκούνμπο: Ένταση με Έλληνα οπαδό που τους έβρισε χυδαία  "
"248";"Σκόπελος: Εξουδετερώθηκε γερμανική νάρκη του Β΄ Παγκοσμίου Πολέμου  "
"249";"Κορονοϊός: ""Μπείτε μόνοι σας σε καραντίνα"" λέει σε ταξιδιώτες η Σαουδική Αραβία  "
"250";"Κορονοϊός: Πυρετώδεις διεργασίες από τον ΕΟΔΥ για την ανακάλυψη κρουσμάτων  "
"251";"Προσευχήσου, βάλε μια Ελληνική σημαία στο μπαλκόνι, διέδωσε και τις απόψεις του ΠΘ στα σόσιαλ και όλα θα πάνε καλά. "
"252";"UPDATE: Μου λενε οτι ο ιδιος καθηγητης με τις τοσες επιστημονικες περγαμηνες,βγηκε χθες στον #ΣΚΑΙ και στην ιδια ερωτηση για την μεταληψη,απαντησε οτι ο κορονοϊος μεταδιδεται απο το σάλιο!Επρεπε να ακουσει τοση κριτικη χθες για να πει το αυτονοητο?Ας ειναι.."
"253";"Κορωνοϊός: Δεύτερος θάνατος στη Βρετανία  "
"254";"Ο κορωνοϊός στο Μαξίμου - Διευρυμένη σύσκεψη  "
"255";"Πυροβολισμοί έξω από ταβέρνα στο Παλαιό Φάληρο  "
"256";"Απειλεί ο Σοϊλού: Η Ελλάδα ότι «δεν έχει δει ακόμη τίποτε» "
"257";"Η Σώτη Τριανταφύλλου αναλύει τις εξελίξεις στη Συρία και τη στάση της Τουρκίας, των ΗΠΑ και της Ευρωπαϊκής Ένωσης."
"258";"Σ. Αραβία: Χειροπέδες σε τρία μέλη της οικογένειας των Σαούντ  "
"259";"Χούντα Παπαδόπουλου το 1974;"
"260";"Grand Prix θα γίνει μόνο με τη συμμετοχή όλων των ομάδων  "
"261";"Ποιος Συριζαίος συστήνει σε φίλο του πρώην υπουργό καλύτερα να μη<U+0085> μιλάει; -  "
"262";"Σεισμός στον Κορινθιακό έγινε αισθητός και στην Αθήνα! -  "
"263";"Προσπάθησαν να ρίξουν τον φράχτη στον Έβρο με γάντζο και τεθωρακισμένο! (ΒΙΝΤΕΟ) -  "
"264";"Χαχαχαχαχαχαχαχαχ έχουν πλάκα αυτοί... Αφού φωνάζουν Τουρκία γιατί θέλουν να έρθουν εδώ; "
"265";"- Όχι ρε, έφτιαχνα μάσκες από τα φίλτρα του γαλλικού.."
"266";"@STAMengineer Ευχαριστώ πολύ να είσαι καλά Stam <U+0001F370><U+0001F618><U+0001F339>"
"267";"@V2k3lc0oxa7vxSi Ευχαριστώ πολύ Ελένη μου, να είσαι καλά <U+0001F618><U+0001F370><U+0001F339>"
"268";"@mariza_m3k Ευχαριστώ πολύ Μαρίζα μου, να είσαι καλά <U+0001F339><U+2764><U+FE0F><U+0001F370>"
"269";"@gigisalonikia Ευχαριστώ πολύ Gigi μου, να είσαι καλά <U+0001F917><U+0001F618><U+0001F370>"
"270";"@RodisInfo Ευχαριστώ πολύ Γιώργο να είσαι καλά <U+0001F339><U+0001F370><U+0001F618>"
"271";"@Annampella2 Ευχαριστώ πολύ <U+02BC>ννα μου, να είσαι καλά <U+0001F339><U+0001F370><U+2764><U+FE0F>"
"272";"Κινηματογραφικό κουίζ. Απαντήστε στα σχόλια από ποια ταινία είναι η σκηνή; Η λύση εδώ   #Flixgr "
"273";"Κέισι Μίζιου: Στο Πήλιο με τον αγαπημένο της Δημήτρη Τρίτο"
"274";"Πρεπει να αντικατασταθεί ο φράχτης απο τείχος ASAP: "
"275";"@BlackCat889 Στη γειτονιά του @pyrofanis κάποιος  μαζεύει παροπλισμένα άλογα κούρσας κι όχι μόνο κι βόσκουν τριγύρω δίπλα μας!"
"276";"@hotdoc_mag που εισαι ρε τσίπρα,σωτήρα της χώρας"
"277";"Τουρκία: Απαγορεύονται οι διελεύσεις μεταναστών από το Αιγαίο - Στις Βρυξέλλες τη Δευτέρα ο Ερντογάν - Dikaiologitika News | Ειδήσεις "
"278";"Ο πρίγκιπας διάδοχος της Σαουδικής Αραβίας συνέλαβε συγγενείς του για προδοσία "
"279";"Αδιανόητες απειλές Σοϊλού: Αυτό είναι ακόμη η αρχή, θα δείτε τι έχει να γίνει  "
"280";"θεωρώ, ότι είναι καλό για μας, εννοώ με εισβολή"
"281";"@aliakovos ΚΑΡΑΦΏΤΗ ΛΕΊΠΕΙΣ !"
"282";"@Mafaldadadaaaa Έχει μείνει καρμπονάρα από χθές"
"283";"Κοροναϊός - Κίνα: Κατέρρευσε ξενοδοχείο με ασθενείς σε καραντίνα (Βίντεο) "
"284";"#θέσεις_εργασίας #aggeliesergasias "
"285";"#IWD2020 #EachforEqual #eachforequality "
"286";"@oldfileles @angie22gr Αυτός δεν έπαθε.. εμείς παθαμε!"
"287";"@sia_alexia Γουστα είναι αυτά.. <U+0001F60A>"
"288";"Είμαι 32, τη μισή μου ζωή βλέπω #GreysAnantomy , πως γίνεται να με κάνει να μιξοκλαίω σα 16χρονο κοριτσοπουλο"
"289";"To κοστούμι της βασίλισσας Letizia είναι η απόλυτη τάση της άνοιξης - "
"290";"Η Meghan Markle φόρεσε ένα κόσμημα που έκρυβε ένα τρυφερό μήνυμα - "
"291";"Όχι δεν ειναι στη Γάζα "
"292";"#TurkishPropaganda #Refugeesgr #IStandWithGreece "
"293";"@dengoustarwre Εσύ;"
"294";"@fuckingbyepolar Και σκέψου οτι ήταν το πιό γρήγορο σπερματοζωάριο <U+0001F973>"
"295";"@tsiprovirus @dimokratis_ @manarakko @stamatismalelis ωχ γραψε να μαθαινουμε και εμεις οι ασχετοι."
"296";"@SCORPIOTANYA Θα κάνω άλλο ένα και θα σταματήσω για λίγο στα 6. Ή να τα κάνω 7; είναι και ιερός αριθμός (για τους Αιγύπτιους αλλά και πάλι <U+0001F602>)"
"297";"Έκτακτο δελτίο θυέλλης "
"298";"Συνελήφθησαν στο «Ελ. Βενιζέλος» #kathimerini #καθημερινη "
"299";"@akonias Επιτέλους!!!!!!"
"300";"Μ' έπιασε η δ/ντρια και μου είπε να μην κάνω καμιά χαζομάρα και δείξω τι ξέρω στ@ν επόμεν@ δ/ντ@ γιατί θα μ' εκμεταλλεύεται συνέχεια όπως εκείνη. Πόσο με σκέφτεται η γλυκιά μου. Με θέλει δούλο μόνο για την πάρτη της"
"301";"@enoouenai Αστα να πανε <U+0001F602><U+0001F602><U+0001F926><U+0001F3FB><U+200D>+<U+FE0F><U+0001F495>"
"302";"Ο Τύπος της Κυριακής<U+0085>  "
"303";"Τρόμος στην Ιταλία: Στους 233 έφτασαν οι νεκροί!  "
"304";"@FrauLitsa70 @TadeEfh123 Έχουν δώσει απαντήσεις απλα τοσο οσο.... Έχουν αφήσει πράγματα για να μην ξεδιπλωθεί απ την αρχή το κουβάρι. Βέβαια βλέποντας το χωρίς τις απαντήσεις λειτουργείς ανεπιρρεαστος και ίσως να ναι και καλύτερα!"
"305";"@mato1k Ποιος δεν θα μιλήσει??? Ο Σταύρος??????"
"306";"@mpilloukos Συνδυασμός του πρώτου και του δεύτερου θα πω εγώ, γιατί αποκλείεται να έχει άλλο λόγο να τα πει αυτά στα ελληνικά και να μην ξέρει ότι υπάρχουν κάμερες τριγύρω"
"307";"Νοσοκομειακοί γιατροί: Όχι στον σκοταδισμό - Η μετάδοση του κορωνοϊού δεν σταματά για θρησκευτικούς λόγους."
"308";"Σεισμός στην Κόρινθο: Στο ρήγμα των Αλκυονίδων"
"309";"Καιρός: Ο φετινός χειμώνας ήταν ο πιο θερμός εδώ και<U+0085> 165 χρόνια!"
"310";"Καταραμένη εγώ ούτε το καλοκαίρι δεν έχω το μαύρισμα του καλοκαιριού <U+0001F602> "
"311";" via @gr_typ_el_lisi"
"312";"Στέλιος Πέτσας : Η Τουρκία είναι διακινητής ανθρώπων και fake news  "
"313";"<U+0001F602><U+0001F602><U+0001F602>"
"314";"Ωχ, ετοιμάζονται να ρίξουν στην πίστα και τον αρκούδο "
"315";"Δεν δείχνουν ευοίωνες οι εξελίξεις."
"316";"@e_nea365 @wolf5760eagle81 Περιμένω με ανυπομονησία να διαβάσω τα άρθρα που ανεβάζεις στην φυλλάδα σου, κάνε γρήγορα μόνο γιατί καιρό είχα να γελάσω τόσο πολύ!"
"317";"@e_nea365 @wolf5760eagle81 Και που ξέρεις αγαπητέ ότι δεν τα βγάζω μόνος μου; <U+02BC>λλωστε μόνο εσένα θα έχουμε να γράφεις μαλακίες; Έχεις το αποκλειστικό δικαίωμα;"
"318";"Σταρχιδια μας "
